,DATE,AIR_SYSTEM_DELAY,AIR_SYSTEM_DELAY_COST,INBOUND FLIGHTS,SECURITY_DELAY,AIRLINE_DELAY,LATE_AIRCRAFT_DELAY,WEATHER_DELAY,OUTBOUND FLIGHTS,GATE_REVENUE,SECURITY_DELAY_COST,AIRLINE_DELAY_REVENUE,PROFIT
96,4/7/2015,1516.0,42902.8,1066.0,0.0,2957.0,1860.0,0.0,1063.0,5415123.97,0.0,125524.65000000001,5497745.82
97,4/8/2015,887.0,25102.1,1070.0,0.0,3058.0,1933.0,73.0,1075.0,5476254.25,0.0,129812.1,5580964.25
98,4/9/2015,1374.0,38884.200000000004,1076.0,0.0,4185.0,2446.0,58.0,1077.0,5486442.63,0.0,177653.25,5625211.68
99,4/10/2015,18005.0,509541.5,1020.0,0.0,11111.0,27055.0,14963.0,1042.0,5308145.9799999995,0.0,471661.95,5270266.43
100,4/11/2015,232.0,6565.6,849.0,0.0,3504.0,807.0,82.0,872.0,4442133.68,0.0,148744.80000000002,4584312.88
101,4/12/2015,1132.0,32035.600000000002,1042.0,0.0,3557.0,1603.0,0.0,1055.0,5374370.449999999,0.0,150994.65000000002,5493329.5
102,4/13/2015,1826.0,51675.8,1084.0,0.0,2890.0,1800.0,132.0,1084.0,5522101.96,0.0,122680.50000000001,5593106.66
103,4/14/2015,1586.0,44883.8,1075.0,0.0,2252.0,1625.0,0.0,1070.0,5450783.3,0.0,95597.40000000001,5501496.9
104,4/15/2015,1947.0,55100.1,1069.0,0.0,2012.0,1524.0,8.0,1072.0,5460971.68,0.0,85409.40000000001,5491280.98
105,4/16/2015,5126.0,145065.80000000002,1084.0,18.0,4378.0,5512.0,446.0,1086.0,5532290.34,891.36,185846.1,5572179.279999999
106,4/17/2015,2020.0,57166.0,1089.0,25.0,3642.0,2032.0,126.0,1090.0,5552667.1,1238.0,154602.9,5648866.0
107,4/18/2015,598.0,16923.4,892.0,0.0,2034.0,603.0,21.0,887.0,4518546.529999999,0.0,86343.3,4587966.429999999
108,4/19/2015,3010.0,85183.0,1052.0,0.0,5325.0,3766.0,503.0,1058.0,5389653.02,0.0,226046.25,5530516.27
109,4/20/2015,2083.0,58948.9,1077.0,0.0,4730.0,2743.0,153.0,1077.0,5486442.63,0.0,200788.5,5628282.2299999995
110,4/21/2015,375.0,10612.5,1071.0,0.0,2791.0,333.0,0.0,1069.0,5445689.109999999,0.0,118477.95000000001,5553554.56
111,4/22/2015,441.0,12480.300000000001,1069.0,0.0,1445.0,780.0,52.0,1073.0,5466065.869999999,0.0,61340.25,5514925.819999999
112,4/23/2015,600.0,16980.0,1084.0,0.0,2325.0,480.0,0.0,1085.0,5527196.149999999,0.0,98696.25000000001,5608912.399999999
113,4/24/2015,693.0,19611.9,1086.0,0.0,2086.0,1751.0,65.0,1089.0,5547572.909999999,0.0,88550.70000000001,5616511.709999999
114,4/25/2015,7051.0,199543.30000000002,888.0,0.0,3535.0,4773.0,662.0,886.0,4513452.34,0.0,150060.75,4463969.79
115,4/26/2015,591.0,16725.3,1050.0,0.0,2306.0,854.0,0.0,1055.0,5374370.449999999,0.0,97889.70000000001,5455534.85
116,4/27/2015,610.0,17263.0,1088.0,0.0,2441.0,1193.0,103.0,1087.0,5537384.529999999,0.0,103620.45000000001,5623741.9799999995
117,4/28/2015,836.0,23658.8,1073.0,0.0,1269.0,687.0,5.0,1070.0,5450783.3,0.0,53869.05,5480993.55
118,4/29/2015,736.0,20828.8,1068.0,0.0,2664.0,735.0,87.0,1070.0,5450783.3,0.0,113086.8,5543041.3
119,4/30/2015,994.0,28130.2,1090.0,0.0,2324.0,1269.0,248.0,1088.0,5542478.72,0.0,98653.8,5613002.319999999
120,5/1/2015,223.0,6310.900000000001,1102.0,0.0,1213.0,487.0,0.0,1104.0,5623985.76,0.0,51491.850000000006,5669166.709999999
121,5/2/2015,218.0,6169.400000000001,898.0,0.0,1953.0,230.0,0.0,891.0,4538923.29,0.0,82904.85,4615658.739999999
122,5/3/2015,386.0,10923.800000000001,1056.0,15.0,1693.0,841.0,15.0,1061.0,5404935.59,742.8000000000001,71867.85,5465136.84
123,5/4/2015,396.0,11206.800000000001,1105.0,0.0,2565.0,1018.0,0.0,1102.0,5613797.38,0.0,108884.25000000001,5711474.83
124,5/5/2015,319.0,9027.7,1081.0,0.0,1385.0,387.0,0.0,1071.0,5455877.489999999,0.0,58793.25000000001,5505643.039999999
125,5/6/2015,520.0,14716.0,1077.0,0.0,1639.0,1568.0,527.0,1079.0,5496631.01,0.0,69575.55,5551490.56
126,5/7/2015,522.0,14772.6,1103.0,68.0,2921.0,460.0,120.0,1103.0,5618891.569999999,3367.36,123996.45000000001,5724748.06
127,5/8/2015,935.0,26460.5,1106.0,0.0,3048.0,1783.0,110.0,1108.0,5644362.52,0.0,129387.6,5747289.619999999
128,5/9/2015,683.0,19328.9,851.0,0.0,1479.0,1046.0,12.0,842.0,4289307.9799999995,0.0,62783.55,4332762.629999999
129,5/10/2015,897.0,25385.100000000002,1004.0,0.0,3564.0,1705.0,272.0,1012.0,5155320.279999999,0.0,151291.80000000002,5281226.9799999995
130,5/11/2015,737.0,20857.100000000002,1105.0,0.0,5236.0,2893.0,53.0,1104.0,5623985.76,0.0,222268.2,5825396.86
131,5/12/2015,750.0,21225.0,1084.0,0.0,2136.0,756.0,53.0,1078.0,5491536.819999999,0.0,90673.20000000001,5560985.02
132,5/13/2015,328.0,9282.4,1084.0,0.0,2371.0,1307.0,0.0,1087.0,5537384.529999999,0.0,100648.95000000001,5628751.079999999
133,5/14/2015,431.0,12197.300000000001,1103.0,0.0,2692.0,1404.0,0.0,1108.0,5644362.52,0.0,114275.40000000001,5746440.62
134,5/15/2015,517.0,14631.1,1108.0,0.0,2239.0,1446.0,169.0,1108.0,5644362.52,0.0,95045.55,5724776.97
135,5/16/2015,740.0,20942.0,900.0,0.0,1665.0,1196.0,122.0,895.0,4559300.05,0.0,70679.25,4609037.3
136,5/17/2015,1099.0,31101.7,1057.0,13.0,3620.0,1976.0,6.0,1065.0,5425312.35,643.76,153669.0,5547235.89
137,5/18/2015,11132.0,315035.60000000003,1082.0,0.0,11714.0,18271.0,6295.0,1095.0,5578138.05,0.0,497259.30000000005,5760361.75
138,5/19/2015,1107.0,31328.100000000002,1082.0,37.0,3079.0,2746.0,175.0,1077.0,5486442.63,1832.24,130703.55000000002,5583985.84
139,5/20/2015,1021.0,28894.300000000003,1083.0,0.0,2209.0,565.0,16.0,1090.0,5552667.1,0.0,93772.05,5617544.85
140,5/21/2015,753.0,21309.9,1105.0,17.0,2414.0,1266.0,56.0,1106.0,5634174.14,841.84,102474.3,5714496.699999999
141,5/22/2015,229.0,6480.7,1111.0,0.0,2339.0,1102.0,0.0,1111.0,5659645.09,0.0,99290.55,5752454.9399999995
142,5/23/2015,568.0,16074.4,863.0,0.0,2786.0,280.0,52.0,848.0,4319873.12,0.0,118265.70000000001,4422064.42
143,5/24/2015,577.0,16329.1,842.0,0.0,1734.0,613.0,32.0,843.0,4294402.17,0.0,73608.3,4351681.37
144,5/25/2015,7735.0,218900.5,995.0,0.0,5384.0,8056.0,3413.0,1020.0,5196073.8,0.0,228550.80000000002,5205724.1
145,5/26/2015,25159.0,711999.7000000001,936.0,3.0,11057.0,24851.0,19805.0,996.0,5073813.239999999,148.56,469369.65,4831034.63
146,5/27/2015,2060.0,58298.0,1062.0,0.0,4744.0,4146.0,395.0,1079.0,5496631.01,0.0,201382.80000000002,5639715.81
147,5/28/2015,9164.0,259341.2,1097.0,0.0,6241.0,11694.0,2959.0,1104.0,5623985.76,0.0,264930.45,5629575.01
148,5/29/2015,1100.0,31130.0,1109.0,0.0,3621.0,2201.0,150.0,1106.0,5634174.14,0.0,153711.45,5756755.59
149,5/30/2015,653.0,18479.9,901.0,0.0,1086.0,748.0,10.0,896.0,4564394.239999999,0.0,46100.700000000004,4592015.039999999
150,5/31/2015,11490.0,325167.0,1038.0,0.0,7647.0,14346.0,2722.0,1061.0,5404935.59,0.0,324615.15,5404383.74
151,6/1/2015,3702.0,104766.6,1093.0,0.0,4826.0,4848.0,503.0,1091.0,5557761.289999999,0.0,204863.7,5657858.39
152,6/2/2015,1243.0,35176.9,1079.0,0.0,3033.0,2245.0,1396.0,1077.0,5486442.63,0.0,128750.85,5580016.579999999
153,6/3/2015,4655.0,131736.5,1074.0,0.0,3609.0,3682.0,56.0,1085.0,5527196.149999999,0.0,153202.05000000002,5548661.699999999
154,6/4/2015,431.0,12197.300000000001,1120.0,0.0,2905.0,1296.0,49.0,1123.0,5720775.369999999,0.0,123317.25,5831895.319999999
155,6/5/2015,342.0,9678.6,1128.0,0.0,4165.0,1568.0,0.0,1127.0,5741152.13,0.0,176804.25,5908277.78
156,6/6/2015,133.0,3763.9,920.0,0.0,1454.0,694.0,66.0,926.0,4717219.9399999995,0.0,61722.3,4775178.339999999
157,6/7/2015,547.0,15480.1,1091.0,0.0,2737.0,1815.0,0.0,1084.0,5522101.96,0.0,116185.65000000001,5622807.510000001
158,6/8/2015,1489.0,42138.700000000004,1125.0,0.0,5224.0,2845.0,358.0,1128.0,5746246.319999999,0.0,221758.80000000002,5925866.419999999
159,6/9/2015,20437.0,578367.1,1030.0,0.0,12518.0,23315.0,16197.0,1052.0,5359087.88,0.0,531389.1,5312109.88
160,6/10/2015,2050.0,58015.0,1079.0,0.0,5043.0,4322.0,109.0,1105.0,5629079.949999999,0.0,214075.35,5785140.299999999
161,6/11/2015,4696.0,132896.80000000002,1101.0,0.0,6892.0,9298.0,283.0,1125.0,5730963.75,0.0,292565.4,5890632.350000001
162,6/12/2015,2157.0,61043.1,1126.0,0.0,4609.0,2977.0,28.0,1128.0,5746246.319999999,0.0,195652.05000000002,5880855.27
163,6/13/2015,410.0,11603.0,928.0,0.0,1688.0,648.0,40.0,936.0,4768161.84,0.0,71655.6,4828214.4399999995
164,6/14/2015,1788.0,50600.4,1095.0,0.0,4925.0,2832.0,57.0,1088.0,5542478.72,0.0,209066.25000000003,5700944.569999999
165,6/15/2015,1037.0,29347.100000000002,1105.0,0.0,4478.0,2833.0,449.0,1114.0,5674927.659999999,0.0,190091.1,5835671.659999999
166,6/16/2015,732.0,20715.600000000002,1100.0,0.0,4370.0,1738.0,318.0,1097.0,5588326.43,0.0,185506.5,5753117.33
167,6/17/2015,919.0,26007.7,1107.0,0.0,5078.0,5325.0,137.0,1110.0,5654550.899999999,0.0,215561.1,5844104.299999999
168,6/18/2015,9200.0,260360.0,1121.0,0.0,11451.0,11590.0,10767.0,1120.0,5705492.8,0.0,486094.95,5931227.75
169,6/19/2015,1144.0,32375.2,1136.0,6.0,5685.0,3311.0,72.0,1137.0,5792094.029999999,297.12,241328.25,6000749.959999999
170,6/20/2015,2787.0,78872.1,928.0,12.0,3957.0,2324.0,844.0,938.0,4778350.22,594.24,167974.65,4866858.53
171,6/21/2015,1182.0,33450.6,1088.0,0.0,5538.0,2941.0,39.0,1087.0,5537384.529999999,0.0,235088.1,5739022.029999999
172,6/22/2015,935.0,26460.5,1127.0,0.0,6179.0,3294.0,331.0,1130.0,5756434.699999999,0.0,262298.55,5992272.749999999
173,6/23/2015,1528.0,43242.4,1106.0,0.0,5453.0,2359.0,132.0,1102.0,5613797.38,0.0,231479.85,5802034.829999999
174,6/24/2015,17752.0,502381.60000000003,966.0,0.0,8161.0,23636.0,26021.0,1032.0,5257204.079999999,0.0,346434.45,5101256.93
175,6/25/2015,1790.0,50657.0,1107.0,0.0,5944.0,3550.0,156.0,1127.0,5741152.13,0.0,252322.80000000002,5942817.93
176,6/26/2015,3236.0,91578.8,1137.0,0.0,4161.0,3714.0,0.0,1137.0,5792094.029999999,0.0,176634.45,5877149.68
177,6/27/2015,8096.0,229116.80000000002,926.0,0.0,8930.0,10477.0,6272.0,942.0,4798726.9799999995,0.0,379078.5,4948688.68
178,6/28/2015,635.0,17970.5,1088.0,0.0,2544.0,675.0,0.0,1083.0,5517007.77,0.0,107992.8,5607030.069999999
179,6/29/2015,481.0,13612.300000000001,1128.0,15.0,2915.0,1105.0,25.0,1128.0,5746246.319999999,742.8000000000001,123741.75,5855632.97
180,6/30/2015,3045.0,86173.5,1085.0,8.0,3669.0,4030.0,348.0,1089.0,5547572.909999999,396.16,155749.05000000002,5616752.299999999
181,7/1/2015,13306.0,376559.8,1087.0,0.0,5506.0,15600.0,4507.0,1100.0,5603609.0,0.0,233729.7,5460778.9
182,7/2/2015,2690.0,76127.0,1134.0,0.0,6827.0,4820.0,65.0,1135.0,5781905.649999999,0.0,289806.15,5995584.8
183,7/3/2015,7767.0,219806.1,847.0,0.0,5772.0,10991.0,3001.0,862.0,4391191.779999999,0.0,245021.40000000002,4416407.08
184,7/4/2015,502.0,14206.6,768.0,0.0,1262.0,455.0,58.0,775.0,3947997.2499999995,0.0,53571.9,3987362.5499999993
185,7/5/2015,984.0,27847.2,1099.0,0.0,4096.0,1741.0,0.0,1101.0,5608703.1899999995,0.0,173875.2,5754731.1899999995
186,7/6/2015,1344.0,38035.200000000004,1139.0,8.0,3834.0,2807.0,81.0,1141.0,5812470.789999999,396.16,162753.30000000002,5936792.729999999
